generation,rank_1,rank_2,swapAccepted
1000,3,5,0
2000,3,6,1
3000,3,5,1
4000,1,6,0
5000,5,6,1
6000,5,6,0
7000,2,6,0
8000,2,5,0
9000,2,6,0
10000,5,6,1
11000,3,4,0
12000,3,5,0
13000,2,5,0
14000,4,5,0
15000,1,4,0
16000,3,4,0
17000,1,6,0
18000,1,5,0
19000,2,4,0
20000,5,6,1
21000,1,5,0
22000,1,4,0
23000,2,4,0
24000,1,2,1
25000,4,6,0
26000,1,6,0
27000,2,3,0
28000,2,3,1
29000,1,5,0
30000,5,6,1
31000,1,5,0
32000,5,6,1
33000,1,3,1
34000,1,6,0
35000,1,6,0
36000,2,5,1
37000,2,6,0
38000,4,5,0
39000,5,6,1
40000,1,2,0
41000,4,6,0
42000,1,4,0
43000,1,2,0
44000,3,5,0
45000,5,6,0
46000,4,6,0
47000,4,6,0
48000,2,6,0
49000,5,6,0
50000,2,5,0
51000,3,6,0
52000,4,5,0
53000,5,6,1
54000,3,6,0
55000,1,2,0
56000,4,6,0
57000,1,4,0
58000,2,6,0
59000,1,3,0
60000,3,4,0
61000,1,4,0
62000,4,5,0
63000,3,5,0
64000,3,6,0
65000,2,3,1
66000,2,6,0
67000,4,6,0
68000,1,6,0
69000,1,6,0
70000,1,6,0
71000,2,4,0
72000,2,6,0
73000,3,5,0
74000,1,2,0
75000,3,5,0
76000,1,5,0
77000,5,6,1
78000,3,4,1
79000,1,3,0
80000,2,5,0
81000,5,6,1
82000,2,4,0
83000,4,6,0
84000,3,4,0
85000,1,2,0
86000,2,5,0
87000,3,5,0
88000,1,4,0
89000,1,2,0
90000,1,4,0
91000,2,4,0
92000,2,4,0
93000,5,6,1
94000,1,5,0
95000,1,2,0
96000,1,5,0
97000,1,4,0
98000,5,6,1
99000,1,3,0
100000,2,5,0
101000,4,6,0
102000,1,4,0
103000,1,6,0
104000,1,6,0
105000,3,5,0
106000,4,6,0
107000,4,5,0
108000,1,3,0
109000,4,6,0
110000,2,4,0
111000,1,5,0
112000,4,5,0
113000,3,5,0
114000,4,5,0
115000,1,2,0
116000,4,5,0
117000,1,2,0
118000,2,5,0
119000,3,5,0
120000,2,5,0
121000,1,5,0
122000,1,4,0
123000,2,3,0
124000,1,6,0
125000,4,6,0
126000,2,4,0
127000,1,6,0
128000,4,5,0
129000,1,3,0
130000,2,3,0
131000,1,3,0
132000,4,6,0
133000,3,6,0
134000,3,6,0
135000,1,5,0
136000,3,4,0
137000,4,6,0
138000,5,6,1
139000,1,3,0
140000,1,6,0
141000,3,4,1
142000,1,2,0
143000,2,4,0
144000,1,5,0
145000,3,6,0
146000,3,4,0
147000,5,6,1
148000,1,3,0
149000,4,5,1
150000,1,4,0
151000,3,6,0
152000,1,5,0
153000,4,6,0
154000,2,6,0
155000,1,6,0
156000,3,4,0
157000,2,5,0
158000,2,3,0
159000,4,6,0
160000,1,3,0
161000,2,4,0
162000,1,5,0
163000,2,5,0
164000,5,6,0
