generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,4.25406,-10304.6,5.31454,1
10000,8,47.5549,-7552.47,10.5056,0.2345
20000,15,81.6129,-7299.96,16.2491,0.2499
30000,18,86.8041,-7208.62,28.1866,0.259425
40000,24,120.36,-7167.15,19.0952,0.26275
50000,33,162.321,-7142.64,29.0695,0.2565
60000,35,170.525,-7119.73,33.5952,0.2716
70000,38,194.85,-7100.29,34.992,0.2792
80000,38,189.808,-7095.96,42.0539,0.2699
90000,44,220,-7077.86,38.8864,0.2755
100000,44,213.591,-7071.95,40.5807,0.2689
110000,46,216.356,-7075.85,38.6985,0.2866
120000,42,189.508,-7063.95,37.9915,0.2825
130000,46,200.88,-7051.47,56.9785,0.2696
140000,44,194.32,-7053.86,44.6049,0.2761
150000,43,189.055,-7033.04,33.8341,0.2844
160000,45,205.814,-7043.86,47.706,0.2593
170000,43,194.069,-7042.5,33.2974,0.2854
180000,46,200.722,-7047.49,50.0392,0.27
190000,49,221.629,-7041.74,47.2844,0.2852
200000,54,253.868,-7010.22,50.461,0.3028
210000,53,235.252,-7016.93,53.2911,0.3082
220000,49,220.288,-7019.98,49.6953,0.2793
230000,43,187.397,-7027.96,36.6525,0.2741
240000,42,192.352,-7021.68,30.2568,0.2581
250000,42,188.46,-7024.45,31.2549,0.2733
260000,45,212.219,-7024.61,61.1814,0.2787
270000,45,219.782,-7013,42.0072,0.2715
280000,52,254.752,-7004.95,40.1619,0.2874
290000,59,289.773,-7009.11,60.3876,0.3065
300000,59,278.652,-6998.06,53.0133,0.2979
310000,55,254.581,-7001.82,54.965,0.3091
320000,55,232.074,-6990.11,49.4426,0.2859
330000,57,256.745,-6984.78,50.8559,0.2877
340000,58,282.897,-6991.68,56.7225,0.2942
350000,55,266.17,-6982.29,51.2601,0.2935
360000,54,254.475,-7004.61,61.659,0.299
370000,53,251.284,-7005.61,47.2922,0.3044
380000,54,258.786,-7008.4,56.1565,0.29
390000,54,258.048,-7014.7,46.079,0.3047
400000,60,298.94,-7012.6,68.67,0.3063
410000,59,294.931,-6995.61,55.4607,0.3177
420000,51,257.421,-6997.91,51.2701,0.313
430000,58,286.183,-6997.92,56.0873,0.2989
440000,53,245.019,-7001.13,56.9243,0.302
450000,53,235.902,-7000.12,65.7079,0.2856
460000,57,266.808,-7007.79,67.7954,0.2935
