generation,rank_1,rank_2,swapAccepted
1000,3,5,0
2000,3,6,0
3000,5,6,1
4000,1,3,1
5000,1,5,0
6000,1,5,0
7000,2,5,1
8000,1,5,0
9000,2,5,0
10000,1,2,1
11000,4,6,1
12000,1,4,0
13000,1,5,0
14000,1,6,0
15000,3,6,0
16000,4,6,1
17000,2,3,1
18000,1,2,1
19000,4,5,1
20000,2,3,0
21000,1,3,0
22000,1,5,0
23000,4,5,0
24000,1,4,0
25000,2,5,0
26000,2,4,0
27000,1,6,0
28000,1,6,0
29000,3,4,1
30000,2,4,0
31000,2,3,0
32000,2,4,0
33000,1,3,0
34000,1,2,0
35000,1,2,1
36000,4,6,0
37000,1,4,0
38000,5,6,0
39000,1,6,0
40000,2,4,0
41000,5,6,0
42000,2,5,0
43000,2,4,0
44000,1,3,0
45000,1,6,0
46000,5,6,0
47000,5,6,0
48000,4,6,0
49000,1,6,0
50000,1,4,0
51000,3,6,0
52000,1,5,0
53000,1,6,0
54000,1,3,0
55000,2,4,0
56000,1,5,0
57000,2,5,0
58000,1,4,0
59000,2,3,0
60000,3,5,1
61000,2,3,0
62000,3,6,0
63000,5,6,0
64000,1,5,0
65000,4,5,0
66000,1,5,0
67000,1,3,0
68000,1,2,0
69000,1,2,0
70000,1,2,0
71000,3,5,1
72000,1,3,0
73000,4,6,0
74000,2,3,0
75000,4,6,0
76000,2,6,0
77000,1,6,0
78000,4,5,0
79000,2,5,0
80000,1,3,0
81000,1,6,0
82000,3,4,1
83000,1,3,0
84000,3,5,1
85000,2,4,0
86000,4,6,0
87000,3,6,0
88000,2,5,0
89000,2,4,0
90000,2,5,0
91000,4,5,1
92000,4,5,0
93000,1,6,0
94000,1,2,0
95000,2,5,0
96000,1,2,0
97000,2,4,0
98000,1,6,0
99000,2,3,0
100000,5,6,1
101000,1,4,0
102000,2,4,0
103000,1,2,1
104000,1,2,1
105000,3,5,0
106000,1,4,0
107000,4,5,0
108000,2,3,0
109000,1,4,0
110000,4,6,0
111000,2,5,0
112000,4,5,0
113000,3,5,0
114000,4,5,0
115000,2,6,0
116000,4,5,0
117000,2,6,0
118000,5,6,1
119000,3,6,0
120000,5,6,1
121000,2,5,0
122000,2,4,0
123000,3,6,0
124000,1,2,1
125000,2,4,0
126000,4,6,0
127000,1,2,1
128000,4,5,0
129000,2,3,0
130000,3,6,0
131000,2,3,0
132000,1,4,0
133000,1,3,0
134000,1,3,0
135000,2,5,0
136000,3,4,0
137000,1,4,0
138000,1,5,0
139000,2,3,0
140000,2,5,0
141000,3,4,0
142000,2,6,0
143000,3,6,0
144000,1,2,0
145000,4,5,0
146000,3,4,1
147000,1,5,0
148000,2,3,0
149000,4,5,0
150000,2,5,0
151000,1,3,0
152000,2,4,0
153000,1,5,0
154000,1,6,0
155000,1,2,0
156000,3,5,0
157000,4,6,0
158000,3,6,0
159000,1,5,0
160000,2,3,1
161000,5,6,1
162000,3,4,0
163000,4,5,1
164000,1,5,0
165000,2,3,1
166000,2,3,0
167000,1,5,0
168000,3,4,0
169000,3,4,0
170000,1,4,0
171000,1,4,0
172000,4,6,0
173000,1,5,0
174000,4,5,1
175000,4,6,0
176000,5,6,0
177000,4,5,0
178000,2,5,0
179000,3,4,1
180000,2,6,0
181000,4,6,0
182000,1,6,0
183000,3,6,0
184000,4,6,0
185000,3,5,0
186000,3,6,0
187000,2,5,0
188000,1,6,0
189000,2,6,0
190000,1,4,0
191000,2,5,0
192000,3,5,0
193000,2,5,0
194000,5,6,0
195000,1,4,0
196000,1,3,0
197000,1,2,0
198000,2,3,0
199000,3,5,0
200000,2,5,0
201000,3,5,0
202000,2,3,0
203000,5,6,0
204000,1,6,0
205000,1,5,0
206000,4,5,0
207000,4,6,0
208000,4,5,1
209000,3,4,0
210000,5,6,0
211000,2,3,0
212000,1,2,0
213000,3,5,1
214000,3,4,1
215000,5,6,0
216000,5,6,0
217000,2,5,0
218000,5,6,1
219000,1,4,0
220000,3,5,0
221000,1,5,0
222000,1,2,0
223000,1,5,0
224000,4,6,0
225000,1,4,0
226000,2,6,0
227000,1,5,0
228000,1,3,0
229000,3,5,0
230000,2,6,0
231000,1,3,0
232000,3,5,0
233000,3,5,0
234000,1,6,0
235000,4,5,0
236000,3,5,0
237000,4,6,0
238000,1,6,0
239000,2,5,0
240000,1,5,0
241000,2,3,0
242000,4,5,0
243000,4,5,0
244000,3,5,0
245000,5,6,1
246000,1,6,0
247000,1,4,0
248000,4,5,0
249000,3,5,0
250000,3,4,0
251000,5,6,1
252000,1,4,0
253000,1,3,0
254000,4,5,0
255000,3,6,0
256000,4,6,0
257000,2,6,0
258000,2,4,0
259000,4,5,0
260000,2,6,0
261000,1,5,0
262000,3,6,0
263000,2,6,0
264000,1,4,0
