generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,4.99975,-8712.18,2.65727,1
10000,7,34.2148,-6122.75,6.9011,0.273973
20000,16,77.2184,-5944.17,14.8202,0.2605
30000,17,75.6619,-5827.71,29.5971,0.283
40000,18,75.7162,-5815.17,13.359,0.252833
50000,19,73.0529,-5794.53,16.605,0.2575
60000,23,94.532,-5797.62,19.6202,0.258
70000,24,104.201,-5780.83,22.9193,0.2749
80000,19,75.3786,-5787.96,20.2156,0.2759
90000,27,119.771,-5780.66,19.2127,0.2655
100000,27,110.576,-5753.68,19.8744,0.2814
110000,36,170.405,-5747.38,27.9545,0.2907
120000,30,136.935,-5751.99,26.0167,0.3063
130000,23,88.094,-5758.83,35.6406,0.2603
140000,22,84.2631,-5759.36,17.7508,0.2712
150000,28,123.504,-5759.45,21.748,0.2681
160000,25,106.118,-5757.06,24.8866,0.2669
170000,23,86.8779,-5746.12,19.6645,0.2658
180000,26,110.47,-5747.23,24.993,0.2608
190000,28,125.699,-5737.9,30.7081,0.2796
200000,28,112.424,-5735.77,28.3277,0.3021
210000,25,99.6899,-5750.95,19.1482,0.2746
220000,24,93.317,-5736.82,18.5492,0.2684
230000,26,113.584,-5746.02,24.1278,0.2595
240000,25,111.505,-5757.97,22.3494,0.2557
250000,19,73.6762,-5750.88,12.1676,0.284
260000,23,99.8761,-5749.34,21.4215,0.274
270000,23,81.269,-5744.37,18.3112,0.2596
280000,24,93.1073,-5733.75,20.1763,0.2428
290000,23,95.5935,-5751.87,21.3096,0.2666
300000,22,90.0721,-5758.4,25.1623,0.2675
310000,24,100.139,-5760.46,25.1817,0.2618
320000,28,116.861,-5751.29,36.2952,0.2677
330000,26,104.974,-5736.5,20.7982,0.2732
340000,24,89.1069,-5731.7,17.8172,0.2561
350000,28,100.887,-5723.28,33.8567,0.2579
360000,29,108.028,-5734.48,27.6969,0.2661
370000,27,98.7946,-5721.02,21.561,0.2633
380000,28,108.152,-5718.51,44.24,0.2922
390000,35,146.303,-5722.46,31.2982,0.2858
400000,33,127.596,-5717.71,32.7027,0.2778
410000,30,123.521,-5723.14,22.0371,0.2774
