generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,4,0
3000,2,3,1
4000,1,3,1
5000,2,3,0
6000,1,2,1
7000,1,2,1
8000,1,3,0
9000,2,3,0
10000,1,2,1
11000,1,4,1
12000,2,4,1
13000,2,3,0
14000,1,2,1
15000,2,3,0
16000,1,2,1
17000,3,4,0
18000,2,3,0
19000,1,3,0
20000,2,4,0
21000,3,4,1
22000,1,4,0
23000,1,3,0
24000,2,4,0
25000,1,2,1
26000,1,4,0
27000,2,4,0
28000,2,4,0
29000,3,4,0
30000,1,3,0
31000,1,4,0
32000,1,3,0
33000,3,4,0
34000,1,4,0
35000,1,4,0
36000,2,3,1
37000,1,2,0
38000,1,3,0
39000,1,3,0
40000,2,4,1
41000,1,3,0
42000,2,3,1
43000,3,4,0
44000,1,4,0
45000,1,2,0
46000,1,2,0
47000,2,4,1
48000,1,4,0
49000,1,2,0
50000,1,3,0
51000,1,4,0
52000,1,4,0
53000,1,3,0
54000,2,3,1
55000,1,4,0
56000,2,4,1
57000,1,3,0
58000,3,4,0
59000,2,3,0
60000,2,4,0
61000,1,2,0
62000,1,3,0
63000,1,3,0
64000,2,3,0
65000,3,4,0
66000,2,3,0
67000,3,4,0
68000,1,4,0
69000,2,4,0
70000,1,4,0
71000,2,3,0
72000,3,4,0
73000,1,3,0
74000,1,4,0
75000,1,2,0
76000,2,3,0
77000,2,4,0
78000,1,4,0
79000,1,2,0
80000,3,4,1
81000,2,4,0
82000,1,3,0
83000,1,4,0
84000,2,4,0
85000,1,2,0
86000,3,4,0
87000,3,4,0
88000,3,4,0
89000,1,4,0
90000,1,4,0
91000,1,4,0
92000,1,2,1
93000,2,3,0
94000,3,4,0
95000,1,2,0
96000,1,3,0
97000,1,4,0
98000,2,4,0
99000,3,4,0
100000,2,3,0
101000,2,3,1
102000,1,4,0
103000,3,4,0
104000,1,4,0
105000,1,2,0
106000,3,4,0
107000,2,4,0
108000,1,2,0
109000,3,4,0
110000,1,3,0
111000,3,4,0
112000,2,4,0
113000,1,4,0
114000,2,4,1
115000,1,4,0
116000,1,3,0
117000,2,3,1
118000,2,4,1
119000,2,3,1
120000,1,2,0
121000,3,4,1
122000,2,3,0
123000,2,3,0
124000,2,4,0
125000,1,4,0
126000,2,4,0
127000,1,3,0
128000,2,3,0
129000,1,4,0
130000,1,4,0
131000,1,3,0
132000,1,4,0
133000,1,2,0
134000,2,3,0
135000,2,3,1
136000,1,3,0
137000,2,4,0
138000,1,3,0
139000,3,4,0
140000,1,4,0
141000,2,4,0
142000,2,3,1
143000,1,2,0
144000,1,3,0
145000,2,3,0
146000,1,4,0
147000,1,4,0
148000,2,3,0
149000,1,4,0
150000,1,3,0
151000,1,3,0
152000,2,3,0
153000,1,2,0
154000,2,4,0
155000,1,3,0
156000,2,4,0
157000,1,2,0
158000,1,4,0
159000,1,4,0
160000,1,3,0
161000,2,4,0
162000,2,4,0
163000,1,3,0
164000,2,4,0
165000,2,4,0
166000,2,3,0
167000,2,3,0
168000,1,2,0
169000,1,3,0
170000,1,4,0
171000,1,3,0
172000,1,2,0
173000,1,2,0
174000,1,4,0
175000,1,4,0
176000,1,2,0
177000,2,3,0
178000,2,3,0
179000,2,4,0
180000,1,3,0
181000,2,4,0
182000,2,3,0
183000,3,4,0
184000,3,4,1
185000,2,3,0
186000,1,3,0
187000,1,3,0
188000,1,4,0
189000,1,4,0
190000,3,4,0
191000,1,3,0
192000,1,3,0
193000,2,3,0
194000,1,3,0
195000,1,3,0
196000,3,4,0
197000,1,4,0
198000,3,4,1
199000,2,4,0
200000,1,2,0
201000,2,4,0
202000,1,4,0
203000,1,2,0
204000,1,4,0
205000,3,4,1
206000,1,2,0
207000,1,2,0
208000,1,4,0
209000,1,3,0
210000,1,4,0
211000,2,3,0
212000,2,4,0
213000,1,4,0
214000,1,4,0
215000,3,4,0
216000,1,2,0
217000,1,4,0
218000,1,3,0
219000,3,4,0
220000,1,4,0
