generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.77559,-32546,17.2723,1
1000,1,8.22437,-25854.4,0.930565,0.381
2000,1,7.44571,-25723.7,0.240596,0.313
3000,1,7.53789,-25535,2.75485,0.314
4000,3,19.1745,-25498.9,3.76322,0.335916
5000,6,37.4014,-25147.1,5.98621,0.295
6000,6,37.1088,-25112.9,3.27999,0.335611
7000,7,42.6303,-25113.1,9.90387,0.2745
8000,7,42.1175,-25108.9,8.30554,0.259
9000,7,41.8244,-25107,5.01177,0.238
10000,8,42.5216,-24938.3,9.67454,0.27
11000,8,45.7741,-24897.7,4.85611,0.327697
12000,9,52.1725,-24898,7.18713,0.269
13000,8,44.6297,-24897.3,6.00978,0.267
14000,10,55.359,-24708.2,12.2208,0.234
15000,10,53.8798,-24700,9.99065,0.252
16000,9,48.6507,-24607.7,8.14138,0.268333
17000,10,56.492,-24579.9,10.6624,0.247
18000,10,55.5122,-24586.1,12.9368,0.239
19000,10,53.8915,-24564.2,8.1818,0.205
20000,10,53.5527,-24565.3,15.7666,0.211
21000,13,70.9432,-24530.3,16.7234,0.225
22000,13,71.3811,-24511.3,15.5326,0.246
23000,14,77.3546,-24496.8,19.1682,0.234
24000,15,82.1733,-24490,19.9044,0.255
25000,13,59.1737,-24347.1,12.4723,0.2217
26000,13,60.9952,-24322.6,14.5555,0.217
27000,13,61.6089,-24311,17.2872,0.233
28000,15,73.5415,-24258.7,18.1254,0.259
29000,17,86.5773,-24185.4,16.3679,0.25
30000,17,85.2047,-24182.9,23.9436,0.276
31000,18,91.1544,-24133.8,21.8601,0.259
32000,19,91.3755,-24048.6,14.1809,0.266
33000,19,90.1398,-24049.8,13.7168,0.279
34000,19,89.5918,-24038.5,20.679,0.246
35000,18,78.1368,-24027.7,11.5022,0.235
36000,18,80.7154,-24006,13.9121,0.23
37000,18,87.7825,-24000.6,18.6665,0.262
38000,19,89.1948,-23865,16.693,0.278
39000,19,86.5579,-23788.9,22.3502,0.219
40000,19,83.3645,-23763.9,17.3055,0.2
41000,19,86.3023,-23737.4,21.9167,0.208
42000,20,94.714,-23709.8,24.0969,0.24
43000,20,93.2006,-23700,19.9737,0.235
44000,22,102.087,-23690.3,21.8235,0.224
45000,22,103.125,-23686.8,19.8764,0.236
46000,22,101.853,-23691.8,18.1684,0.217
47000,22,98.6302,-23676.8,24.9367,0.256
48000,22,99.6136,-23675.6,17.944,0.222
49000,23,108.02,-23681.9,15.9381,0.239
50000,24,115.758,-23678.8,19.3988,0.239
51000,24,120.18,-23676.6,18.9059,0.247
